team_name,condition,time,fitness
disjoint,synchronic,20,-14475.25
disjoint,synchronic,21,-14475.25
disjoint,synchronic,22,-13636.0
disjoint,synchronic,23,-13636.0
disjoint,synchronic,24,-13497.25
disjoint,synchronic,25,-13497.25
disjoint,synchronic,26,-13497.25
disjoint,synchronic,27,-13497.25
disjoint,synchronic,28,-13497.25
disjoint,synchronic,29,-12900.25
disjoint,synchronic,30,-12900.25
disjoint,synchronic,31,-11856.0
disjoint,synchronic,32,-11738.25
disjoint,synchronic,33,-10969.0
disjoint,synchronic,34,-10969.0
disjoint,synchronic,35,-10969.0
disjoint,synchronic,36,-10969.0
disjoint,synchronic,37,-10640.25
disjoint,synchronic,38,-10284.25
disjoint,synchronic,39,-10284.25
disjoint,synchronic,40,-9176.25
disjoint,synchronic,41,-9176.25
disjoint,synchronic,42,-8281.25
disjoint,synchronic,43,-8281.25
disjoint,synchronic,44,-7293.25
disjoint,synchronic,45,-7293.25
disjoint,synchronic,46,-6974.5
disjoint,synchronic,47,-6752.25
disjoint,synchronic,48,-6264.25
disjoint,synchronic,49,-5940.25
disjoint,synchronic,50,-5925.0
disjoint,synchronic,51,-5925.0
disjoint,synchronic,52,-5041.25
disjoint,synchronic,53,-4473.0
disjoint,synchronic,54,-4473.0
disjoint,synchronic,55,-4473.0
disjoint,synchronic,56,-4473.0
disjoint,synchronic,57,-4473.0
disjoint,synchronic,58,-4473.0
disjoint,synchronic,59,-4473.0
disjoint,synchronic,60,-3844.0
disjoint,synchronic,61,-3844.0
disjoint,synchronic,62,-3844.0
disjoint,synchronic,63,-3844.0
disjoint,synchronic,64,-3844.0
disjoint,synchronic,65,-3844.0
disjoint,synchronic,66,-3844.0
disjoint,synchronic,67,-3583.25
disjoint,synchronic,68,-3357.0
disjoint,synchronic,69,-3357.0
disjoint,synchronic,70,-3224.25
disjoint,synchronic,71,-3155.25
disjoint,synchronic,72,-3155.25
disjoint,synchronic,73,-3155.25
disjoint,synchronic,74,-2510.0
disjoint,synchronic,75,-2510.0
disjoint,synchronic,76,-2321.25
disjoint,synchronic,77,-2321.25
disjoint,synchronic,78,-2181.25
disjoint,synchronic,79,-2090.5
disjoint,synchronic,80,-2090.5
disjoint,synchronic,81,-2090.5
disjoint,synchronic,82,-2013.0
disjoint,synchronic,83,-2001.25
disjoint,synchronic,84,-2001.25
disjoint,synchronic,85,-2001.25
disjoint,synchronic,86,-1565.0
disjoint,synchronic,87,-1232.5
disjoint,synchronic,88,-1077.25
disjoint,synchronic,89,-868.5
disjoint,synchronic,90,-832.5
disjoint,synchronic,91,-604.25
disjoint,synchronic,92,-536.25
disjoint,synchronic,93,-462.25
disjoint,synchronic,94,-356.25
disjoint,synchronic,95,-226.25
disjoint,synchronic,96,-131.25
disjoint,synchronic,97,-131.25
disjoint,synchronic,98,-131.25
disjoint,synchronic,99,-131.25
identical,diachronic,0,-18720.0
identical,diachronic,1,-18145.0
identical,diachronic,2,-18145.0
identical,diachronic,3,-17950.0
identical,diachronic,4,-17950.0
identical,diachronic,5,-17950.0
identical,diachronic,6,-17950.0
identical,diachronic,7,-17950.0
identical,diachronic,8,-17950.0
identical,diachronic,9,-17950.0
identical,diachronic,10,-17950.0
identical,diachronic,11,-17950.0
identical,diachronic,12,-17950.0
identical,diachronic,13,-17950.0
identical,diachronic,14,-17801.0
identical,diachronic,15,-17801.0
identical,diachronic,16,-16900.0
identical,diachronic,17,-16836.0
identical,diachronic,18,-16836.0
identical,diachronic,19,-16836.0
identical,diachronic,20,-16836.0
